Ref,Option,Channel,Direction,Signal,Controller resource,Pins,Qty,Items,Status,Notes
T-A1,A (NTC baseline),Coffee thermoblock temperature,In,Analogue resistance NTC 100k 2-wire,ADC channel + external divider,1,1,COFFEE NIC WIRE EM70025 (RT1),Fitted,OEM sheet 3-3: 100k NTC against 10k 1% divider (R54-R56) + 100nF filter; sensitivity peak ~85-90 degC. Beta still not established
T-A2,A (NTC baseline),Steam thermoblock temperature,In,Analogue resistance NTC 2-wire,ADC channel + external excitation/divider,1,1,Steam SOLEPLATE THERMISTOR SR6000 EM70020,Fitted,Same class as T-A1
T-A3,A (NTC baseline),Steam wand temperature,In,Analogue resistance NTC 2-wire,ADC channel + external excitation/divider,1,1,Steam Arm NTC WIRE EM70024,Fitted,Conduction disc on wand exterior
T-B0,B (PT1000 + MAX31865),RTD converter SPI bus,Bidir,SPI SCK/MOSI/MISO,SPI peripheral,3,1,Shared by all MAX31865,Proposed,Bus shared; 5 MHz max; mode 1 or 3
T-B1,B (PT1000 + MAX31865),Coffee thermoblock RTD chip select,Out,GPIO,GPIO out,1,1,MAX31865 #1,Proposed,One converter per RTD - MAX31865 is single-channel
T-B2,B (PT1000 + MAX31865),Steam thermoblock RTD chip select,Out,GPIO,GPIO out,1,1,MAX31865 #2,Proposed,
T-B3,B (PT1000 + MAX31865),Steam wand RTD chip select,Out,GPIO,GPIO out,1,1,MAX31865 #3,Proposed,
T-B4,B (PT1000 + MAX31865),RTD data-ready,In,Open-drain DRDY,GPIO in or EXTI,3,3,MAX31865 x3,Optional,"One open-drain DRDY per converter, so three pins if wired. Omit and poll the status register instead - at a 100 Hz control tick there is time - which is what the totals quoted elsewhere assume"
P1,Both,Steam-path pressure,In,Ratiometric analogue (expected),ADC channel,1,1,Steam pressure transducer,Decided not fitted,DEC-STEAM-PRESSURE-SENSOR-ADDED; part not selected
P2,Both,Brew-path pressure,In,Ratiometric analogue (expected),ADC channel,1,1,Brew pressure transducer,Proposed,REQ-MEASUREMENT-001.C7 open; siting depends on OPV return location
D1,Both,Operator panel keys,In,"Contact closure to ground, shared with the indicator cathodes on the same line",Bidirectional GPIO with pull-up (also sinks indicator current),5,5 keys / 10 switches,PWR MAN ONE TWO PRG,Fitted,"Ten tact switches wired as five parallel pairs - a wide cap with a switch at each end - so the controller sees one signal per key. Each key's line ALSO carries its indicator cathodes, so these 5 pins are shared with O10 and are not additional to it. The anode rail must be blanked before reading. See docs/connector-pinouts.md"
D2,Both,Control knob microswitches,In,Contact closure to ground,GPIO in with pull-up,2,2,S7 HOT and S8 STM on the L-panel and R-panel assemblies,Fitted,"250 V 3 A. Reach the board on their own wires, not through the front-panel harness"
D3,Both,Tank water level,In,Contact closure (reed/magnet),GPIO in with pull-up,1,1,S6 WAT tank level sensor,Fitted,Drawn as a plain switch alongside the knob microswitches rather than as a pushbutton
