Component,Load / Target Rating,Required Logic / Controller Interface,Control Strategy & Device Type,Architectural Purpose & Module Constraint
"High-Power Thermal Loop 1","1200W @ 240V AC (~5.0A continuous)","Low-Voltage Digital Output (3.3V / 5V Logic)","Slow PWM (1Hz Window) Requires Zero-Cross DC-AC SSR","Standard external opto-isolated Zero-Cross SSR (e.g., 25A rating). Handles high thermal mass loop."
"High-Power Thermal Loop 2","1000W @ 240V AC (~4.2A continuous)","Low-Voltage Digital Output (3.3V / 5V Logic)","Slow PWM (1Hz Window) Requires Zero-Cross DC-AC SSR","Standard external opto-isolated Zero-Cross SSR (e.g., 25A rating). Handles high thermal mass loop."
"Inductive AC Fluid Actuator","48W @ 240V AC (~0.2A inductive)","PWM Output + Zero-Cross Input Interrupt","Phase-Angle Dimming Requires External TRIAC Module","Logic must interface with a dedicated AC Phase Dimmer (e.g., RobotDyn TRIAC). Normal low-side DC MOSFETs cannot drive this."
"Routing Solenoid Valve 1","~15W @ 24V DC (~0.6A continuous)","High-Current Low-Side MOSFET Terminal","Direct Digital High/Low (Onboard Transistor switching)","Driven natively by high-current board rails (e.g., heater/fan MOSFETs). Must support inductive kickback protection."
"Routing Solenoid Valve 2","~15W @ 24V DC (~0.6A continuous)","High-Current Low-Side MOSFET Terminal","Direct Digital High/Low (Onboard Transistor switching)","Driven natively by secondary high-current board rails. Requires inductive kickback protection."
"Thermal Sensor 1","Signal Only (100kΩ NTC Thermistor)","Analogue Input (ADC) with 4.7kΩ Pull-up","Analogue Voltage Read (Steinhart-Hart Translation)","Measures core mass temperature. Needs filtered ADC track to prevent signal noise from high-voltage components."
"Thermal Sensor 2","Signal Only (100kΩ NTC Thermistor)","Analogue Input (ADC) with 4.7kΩ Pull-up","Analogue Voltage Read (Steinhart-Hart Translation)","Measures auxiliary mass temperature. Needs filtered ADC track to prevent signal noise."
"Fluid Flow Rate Sensor","5V Power / 3.3V Signal (Signal Only)","Digital Input (GPIO) with Hardware Interrupt","Pulse Counting Edge Interrupt (Square-Wave Reading)","Tracks real-time fluid displacement volume. Requires a high-speed hardware interrupt pin."
"Inline Pressure Transducer","5V Power / 0.5V - 4.5V Signal (Signal Only)","5V Analogue Input (ADC)","Analogue Voltage Read (Linear Voltage-to-Unit Translation)","Monitors closed-loop fluid pressure metrics. Requires linear analog mapping against a stable 5V reference."
"Gravimetric Strain Sensor","5V Power / Synchronous Data (Signal Only)","Digital GPIO Bus (Dedicated Data + Clock)","Serial Clock Pulse Bus Requires HX711 Amplifier Module","Reads micro-volt variances from load cells. Requires a dedicated external HX711 analog-to-digital converter breakout."
"Physical Interface Button 1","Signal Only (Tactile Push Switch)","Digital Input (GPIO) with Pull-up/Pull-down","Digital Input State Change Requires Software Debouncing","Triggers System Cycle Routine 1. Must handle physical contact debouncing in software or hardware."
"Physical Interface Button 2","Signal Only (Tactile Push Switch)","Digital Input (GPIO) with Pull-up/Pull-down","Digital Input State Change Requires Software Debouncing","Triggers System Cycle Routine 2. Must handle physical contact debouncing in software or hardware."
"Display & Input Screen","5V Power / Serial RX & TX (Signal Only)","UART Serial Port (Dedicated Hardware RX/TX)","Asynchronous Serial Communication (9600 - 115200 Baud)","Connects to a smart HMI panel (e.g., Nextion) that handles its own graphics processing over a 4-wire serial bus."
