"Grouping","Part Type","Specific Part Chosen","Purpose","Control Method","Qty","Est AUD (ea)","Est AUD (line)","Price Confidence","Notes","EM7000 Reuse Assessment"
"Core / MCU","Control Board (MCU + I/O)","3D-printer-class 32-bit STM32 control board, no stepper driver modules populated (e.g. BTT SKR 1.4 Turbo / SKR2 / Octopus family)","Main controller running custom firmware; provides 2x heater outputs, 2-3x thermistor inputs, fan/MOSFET outputs for pump/valve SSR triggers, endstop-style digital inputs for buttons/microswitches/water level, TFT display connector. Board sold without driver modules is cheaper by default in this ecosystem; unpopulated STEP/DIR/EN headers reused as extra timer-capable PWM / digital GPIO","Firmware (PlatformIO/bare STM32 HAL), hardware EXTI interrupts","1","$45","$45","Estimated","REVISED - replaces the standalone MCU dev board; pressure sensor reads via the onboard ADC instead of a separate ADS1115 breakout. RTD amp (MAX31865) is retained separately for boiler temp sensing - see Thermal-Sensing rows. Price is a memory-based estimate only, not freshly priced this session - verify current AUD pricing before buying","Buy new - original uses 8-bit Holtek MCUs (HT66F50/HT48R065), not reusable for custom firmware"
"Thermal - Heating","SSR (Heater 1)","SparkFun SSR-40DA (SKU SF-COM-13015)","Switches 1200W/5.0A Heater Loop 1","Zero-cross burst-fire, 1Hz PWM window","1","$30.25","$30.25","Verified","Little Bird Electronics, in stock, zero-cross confirmed on datasheet","Buy new - original uses mechanical relays (HF3FD/012HST), not zero-cross SSRs"
"Thermal - Heating","SSR (Heater 2)","SparkFun SSR-40DA (SKU SF-COM-13015)","Switches 1000W/4.2A Heater Loop 2","Zero-cross burst-fire, 1Hz PWM window","1","$30.25","$30.25","Verified","Same part as Heater 1 SSR","Buy new - same reasoning as Heater 1 SSR"
"Thermal - Heating","SSR Heatsink","Generic aluminium extrusion heatsink, module-mount","Dissipates continuous conduction losses (~5-7W per SSR at these loads)","Passive","2","$8","$16","Estimated","Not yet sourced/verified","Buy new - no equivalent in original"
"Thermal - Sensing","Temperature Probe","PT1000 3-wire RTD probe, Class A tolerance","Measures thermal mass 1 (steam boiler)","SPI via MAX31865, RTD linearization (3-wire lead compensation)","1","$28.55","$28.55","Verified","Core Electronics; SKIP if reusing existing sensor already on the machine. Class A specified for consistency with the coffee-side channel","Optional reuse - existing sensor is an NTC thermistor (Steam Soleplate Thermistor, EM70020) on the steam thermochamber, not PT1000. Could wire as an NTC channel instead of buying this probe - saves $28.55, and the steam side has more margin than the coffee side so NTC accuracy is less of a concern here"
"Thermal - Sensing","Temperature Probe","PT1000 3-wire RTD probe, Class A tolerance (+/-0.15+0.002|t| C, ~+/-0.36C at 105C)","Measures thermal mass 2 (coffee boiler)","SPI via MAX31865, RTD linearization (3-wire lead compensation)","1","$28.55","$28.55","Verified","Class A tolerance required here specifically - coffee boiler's hardware safety thermostat trips at 110C+/-3C (as low as ~107C worst case), and a boost target of 105C leaves as little as ~2C margin. Absolute accuracy matters on this channel, not just repeatability","Reuse of the OEM NTC (Coffee NIC Wire, EM70025) is riskier here than on the steam channel - generic NTCs don't carry a tight tolerance class like RTDs do, and this channel needs absolute accuracy near a hardware safety cutoff. Buying the Class A PT1000 probe is the safer call for this specific channel"
"Thermal - Sensing","RTD Amplifier","MAX31865 breakout (AUSCOM)","PT1000-to-digital interface for both boiler channels","SPI, shared bus with separate CS per channel","2","$14.95","$29.90","Verified","AUSCOM, in stock. RESTORED in place of the simple resistor-divider approach - proper 3-wire lead compensation and a ratiometric precision reference are needed for absolute accuracy near the coffee boiler's 110C thermostat margin (see Temperature Probe notes)","N/A - new addition (measurement circuit; not present in the original NTC-based machine)"
"Fluid - Pump","SSR (Pump - Coffee)","Generic zero-cross SSR ~10A (e.g. AliExpress FOTEK SSR-10DA)","Switches coffee-side vibratory pump (Type EP5, 230V)","Fine per-half-cycle PSM (pulse-skip modulation), zero-cross fired, timed off the Zero-Cross Detector Module","1","$5","$5","Estimated","Low-consequence channel; clone-quality risk acceptable here unlike heater channels. Renamed from generic 'Pump' now that the machine is confirmed to have two independent pump loops","Reuse concept only - original drives each pump via a MOC3021 optotriac + triac"
"Fluid - Pump","SSR (Pump - Steam)","Generic zero-cross SSR ~10A (e.g. AliExpress FOTEK SSR-10DA)","Switches steam-side vibratory pump (JYPC-4, 230V/22W)","Fine per-half-cycle PSM (pulse-skip modulation), zero-cross fired, timed off the Zero-Cross Detector Module","1","$5","$5","Estimated","Second pump channel - machine has two independent pumps, not one shared pump. Was missing from the original BOM","Buy new - required, was missing from original BOM"
"Fluid - Pump","Vibratory Pump","ULKA EX4 (existing)","Fluid displacement actuator","Fine per-half-cycle PSM duty command via SSR","1","$0","$0","Existing","Reused from machine, not purchased","CORRECTION: machine actually has two separate pumps, not one EX4 - Coffee Pump 230V (Type EP5, EM70052) and Steam Pump 230V/22W (JYPC-4, EM70026). Both reusable at $0, but budget for 2 pump channels (see SSR rows above)"
"Fluid - Pump","Zero-Cross Detector Module","Generic opto-isolated AC zero-cross detector","Provides zero-cross reference for fine-grained, per-half-cycle pump PSM control on both pump channels","Hardware interrupt input to MCU","1","$10","$10","Estimated","CONFIRMED NEEDED - heater burst-fire does not need this (genuine zero-cross SSRs self-synchronize their own turn-on to the AC waveform for simple windowed on/off control), but fine pump pulse-skip modulation needs the MCU to know exact half-cycle boundaries to time its skip pattern correctly. One module's interrupt output feeds both pump control loops","Buy new - original has a similar PC817-based zero-cross sense circuit built into the main PCB, but it is not separable as a standalone module"
"Fluid - Solenoids","Routing Solenoid Valve","Existing 230VAC solenoid valve (confirmed mains-voltage, JLT-brand, e.g. JLT 3T0618W)","Routes fluid path 1","Direct digital on/off via mains-rated SSR (low current load)","1","$0","$0","Existing","CONFIRMED mains-voltage, not 24VDC. Decided to keep the OEM valve and switch it with a cheap low-current mains SSR rather than replace with a new 24VDC valve + MOSFET driver - valve+driver came out more expensive overall than reuse+small SSR, and generic 24VDC valves risk being under-rated for the near-boiler water temperature this valve sees","RESOLVED: confirmed mains-voltage (230VAC coil). Valve itself reusable at $0"
"Fluid - Solenoids","Routing Solenoid Valve","Existing 230VAC solenoid valve (confirmed mains-voltage, JLT-brand, e.g. JLT 2T0607W)","Routes fluid path 2","Direct digital on/off via mains-rated SSR (low current load)","1","$0","$0","Existing","Same reasoning as valve 1","RESOLVED: second solenoid also confirmed 230VAC coil. Same reuse/switching decision as valve 1"
"Fluid - Solenoids","Mains SSR (Solenoid Valves)","Small mains-rated SSR, low-current (~2-5A, e.g. cheap PCB-mount or mini DIN-rail SSR)","Switches each 230VAC solenoid valve from 3.3V/5V GPIO","Direct digital on/off, mains-rated isolation","2","$5","$10","Estimated","REPLACES the 24VDC MOSFET driver module plan - solenoids are confirmed mains-voltage, and a small mains SSR per valve is cheaper overall than buying new 24VDC valves plus MOSFET modules, since the OEM valves are already free","N/A - new switching hardware; the valves themselves are reused (see rows above)"
"Fluid - Sensing","Flow Sensor","Pakronics YF-B2 (brass)","Pulse-counting flow measurement","Hardware interrupt, pulse counting","1","$14.32","$14.32","Verified","Melbourne 24h delivery; SKIP if reusing existing sensor","Reuse - flow meter is already fitted and wired straight into the MCU's pulse-count pin (FlowMeter/CZ1 on original schematic). Skip purchase, save $14.32"
"Fluid - Sensing","Pressure Transducer","Core Electronics SEN0257 (G1/4)","Inline fluid pressure","Ratiometric analog, read directly on control board's onboard ADC via simple divider (no external ADC breakout)","1","$34.75","$34.75","Verified","SKIP if reusing existing sensor","Buy new - confirmed no electronic pressure sensor in original (only an analog, stepper-motor-driven gauge dial). Cannot skip"
"Weight / Gravimetric","Load Cell","Beam load cell, 1-3kg (Core Electronics)","Gravimetric dose/weight feedback","Analog bridge into NAU7802","1","$4.90","$4.90","Verified","Optional - only if implementing gravimetric feedback","Buy new - no gravimetric hardware exists in the original machine"
"Weight / Gravimetric","Load Cell Amplifier","NAU7802 I2C load cell ADC (e.g. SparkFun Qwiic Scale)","Digitizes load cell bridge signal","I2C (shares the main sensor bus, no dedicated bit-banged GPIO)","1","$15","$15","Estimated","REVISED from HX711 - NAU7802 is a genuine I2C load-cell ADC, so it joins the same bus as other I2C sensors instead of needing dedicated clock/data GPIO pins. Simpler firmware driver too","Buy new - same reasoning as load cell"
"HMI / Input","HMI Display","Waveshare ESP32-S3 Touch LCD 4.3in","User interface, shot control/status","UART serial, 4-wire, 9600-115200 baud","1","$61.85","$61.85","Verified","Core Electronics; runs standalone as serial-attached UI, not the main MCU. Cheaper commodity alternatives considered (3D-printer TFT touchscreen, Nextion HMI) but not finalized - revisit before purchase","Buy new - original uses LED indicators + a membrane button panel + analog stepper-driven dial gauges, nothing reusable as a digital display"
"HMI / Input","Level Shifter","5V<->3.3V logic level shifter (e.g. TXS0102 breakout)","Protects STM32 3.3V RX pin from display's 5V TX line","Passive/logic interface","1","$4","$4","Estimated","Confirm actual I/O voltage of chosen display first - may not be needed. Still open pending final display choice above","N/A - depends on chosen display, unrelated to original machine"
"HMI / Input","Tactile Button","Momentary tactile switch","Physical interface buttons 1 and 2","GPIO with pull-up, software debounce","2","$0.50","$1","Estimated","Negligible cost","Optional reuse - original has a 7-button membrane/PCB panel (Button Assembly, EM70039) plus 2 knob microswitches (Steam/Hot Water). Could reuse the original panel instead of buying new tactiles if keeping the stock UI layout"
"Power","24V DC PSU","Mean Well HDR-100-24 (DIN rail)","Powers solenoids, contactor coil, and downstream 5V rail","Switched mains-to-24VDC","1","$47.61","$47.61","Verified","Digikey AU, in stock","Buy new - original PSU (MC34063-based) only supplies low-current 12V/5V logic rails, far undersized for 24V solenoid/contactor loads"
"Power","5V Buck Converter","Pololu D24V10F5","Steps 24V down to 5V logic/sensor rail","Buck regulation","1","$21.40","$21.40","Verified","Core Electronics, in stock","Buy new - same reasoning as 24V PSU"
"Safety / Interlock","Master Contactor","DIN-rail contactor, ~20-25A, 24VDC coil","Independent mains cutoff for entire 240V feed; MCU must actively hold closed","Watchdog-gated coil drive (hardware, not pure software)","1","$35","$35","Estimated","Price range seen $10-50 depending on source/quality - not verified this session","Buy new - not present in original design (loads are switched directly by relays/MCU, no independent line contactor)"
"Safety / Interlock","Hardware Watchdog Timer","Retriggerable monostable/watchdog IC (e.g. TPS3813-class)","Drops contactor coil if MCU hangs/crashes","Requires periodic MCU heartbeat pulse","1","$6","$6","Estimated","Independent of firmware logic","Buy new - no discrete watchdog IC found in the original schematic"
"Safety / Interlock","Thermal Cutout Switch","Bimetallic thermostat, bonded to heater mass","Independent hardware over-temp cutoff; breaks contactor coil circuit with zero software in the path","Pure hardware, in series with contactor coil","2","$7","$14","Estimated","This is what actually catches an SSR failed shorted while MCU is otherwise healthy","REUSE - confirmed present: Steam Thermostat 200+/-5C (56-8001, EM69113) and Coffee Thermostat 110+/-3C (56-8000VB, EM6910147), each bonded to its boiler casting. Matches this row's spec exactly. Verify trip/continuity before reuse, but skip buying new - save $14"
"Safety / Interlock","One-Shot Thermal Fuse (TCO)","Thermal fuse, in series with each element","Last-resort one-shot cutoff if temp exceeds absolute max","Pure hardware, in series with element itself","2","$4","$8","Estimated","Not yet sourced/verified","Buy new regardless - a 'Thermofuse Bracket' exists on the steam thermochamber implying a fuse is fitted, but no discrete fuse part/spec is catalogued in the manual. Even if found intact, don't trust a safety-critical one-shot device of unknown age/trip history - cheap to replace"
"Safety / Interlock","Pressure Relief Valve","Mechanical spring relief valve (not yet selected)","Prevents catastrophic line rupture under blocked-flow/high-resistance conditions","Purely mechanical, no electronics","1","TBD","TBD","Not Sourced","From original spec constraint; still an open item, needs a specific part pick","Not found in original parts list - inspect machine physically to confirm absence; still an open item either way"
"Assembly / Misc","Enclosure","Altronics H0364A, IP65 ABS 250x200x130mm","Houses controller + mains wiring; enables mains/LV segregation","-","1","$95.95","$95.95","Verified","Altronics, in stock","N/A - new external DIN enclosure, unrelated to original chassis"
"Assembly / Misc","Mains Flex Cable","Altronics W0576, 15A rated","Mains wiring from inlet to internal distribution","-","2m","$5.47/m","$11","Verified","Altronics","N/A - buy new for new enclosure wiring"
"Assembly / Misc","Moulded Power Lead","Altronics P8405C","Mains inlet lead (GPO to enclosure)","-","1","$8.00","$8.00","Verified","Altronics","Optional reuse - original power cord (H05VVF3x1.0mm) could be reused if compatible with the new enclosure's cable entry; minor saving"
"Assembly / Misc","Cable Gland","Altronics H4319A, IP68","Sealed mains cable entry into enclosure","-","2","$3.30","$6.60","Verified","Altronics","N/A - buy new"
"Assembly / Misc","Protoboard / Terminal Blocks / Wiring","Perfboard, screw terminal blocks, dupont wire, fasteners","General internal assembly","-","1 lot","$20","$20","Estimated","Not itemized","N/A - buy new"
