Module,Module Pin,Wires To (Robin Nano / Net),Notes
Fotek SSR-25DA #1 (BASELINE - PRIMARY E10),Control + (DC in),Robin Nano GPIO (heater 1 - coffee),"LOCKED IN as baseline, ~USD5-23. 25A rated vs 4.80A load (5.2x margin). Confirmed zero-cross from datasheet. Control input 3-32VDC - a plain 3.3V/5V GPIO through a current-limiting resistor is sufficient (SSR input draws a few mA, similar to any opto-isolated input)"
Fotek SSR-25DA #1,Control - (DC in),Robin Nano GND,-
Fotek SSR-25DA #1,Load terminals (2x),Mains supply / coffee heater element,Physical wiring, screw terminals, no soldering
Fotek SSR-25DA #2 (BASELINE - PRIMARY E10),Control + (DC in),Robin Nano GPIO (heater 2 - steam),"25A rated vs 5.38A load (4.6x margin, the tighter of the two channels but still very comfortable vs the salvaged part's likely 1.11x)"
Fotek SSR-25DA #2,Control - (DC in),Robin Nano GND,-
Fotek SSR-25DA #2,Load terminals (2x),Mains supply / steam heater element,Physical wiring, screw terminals, no soldering
Salvaged Breville BES920 zero-cross triac driver (3ch) - SPARE/BACKUP ONLY,Logic input ch1-3,Not wired into the primary build,"DOWNGRADED from primary plan. Kept as a spare/backup, not load-bearing - the Fotek pair above removes the need to bet the heater channels on this unverified, cross-machine, thin-margin part. Could still be bench-characterized out of curiosity or held as a backup, but the build no longer depends on it"
RobotDyn/KRIDA 4ch AC dimmer module,VCC,Robin Nano 5V (typical for these modules),Verify against the specific unit's silkscreen once purchased
RobotDyn/KRIDA 4ch AC dimmer module,GND,Robin Nano GND,-
RobotDyn/KRIDA 4ch AC dimmer module,Z-C (zero-cross output),Robin Nano PE14 (E9),Shared single zero-cross reference for the whole system
RobotDyn/KRIDA 4ch AC dimmer module,PWM1 / trigger ch1,Robin Nano GPIO (pump - coffee),Random-phase capable channel
RobotDyn/KRIDA 4ch AC dimmer module,PWM2 / trigger ch2,Robin Nano GPIO (pump - steam),Random-phase capable channel
RobotDyn/KRIDA 4ch AC dimmer module,PWM3 / PWM4,Unused (spare channels),Not using this module for valve switching after the fail-safe correction - see relay module below
RobotDyn/KRIDA 4ch AC dimmer module,Mains in / switched out (x4),Mains supply / pump motors,Physical wiring
2ch opto-isolated MECHANICAL relay module (solenoids),VCC,Robin Nano 5V,-
2ch opto-isolated MECHANICAL relay module (solenoids),GND,Robin Nano GND,-
2ch opto-isolated MECHANICAL relay module (solenoids),IN1,Robin Nano GPIO (2-way coffee valve),Active-low typical - confirm on the specific module
2ch opto-isolated MECHANICAL relay module (solenoids),IN2,Robin Nano GPIO (3-way diverter valve),Active-low typical - confirm on the specific module
2ch opto-isolated MECHANICAL relay module (solenoids),COM/NO/NC ch1 + RC snubber,Mains supply / 2-way valve coil,Fails open on power loss or fault - the point of choosing mechanical over SSR/triac
2ch opto-isolated MECHANICAL relay module (solenoids),COM/NO/NC ch2 + RC snubber,Mains supply / 3-way valve coil,Same
MAX31865 breakout #1,VIN/3V3,Robin Nano 3.3V,-
MAX31865 breakout #1,GND,Robin Nano GND,-
MAX31865 breakout #1,CS,Robin Nano PC9,Freed SD-card SPI bus CS line
MAX31865 breakout #1,SCK/DI/DO,Robin Nano PC10/PC12/PC11,Shared SPI bus with #2 and #3
MAX31865 breakout #1,RTD+/RTD-,PT1000 sensor (not fitted day one),Deferred - wiring/mounting reserved now, sensor purchase later
MAX31865 breakout #2,CS,Robin Nano PA13 (repurposed EXP1 pin),TBD - confirm this EXP1 pin is genuinely free once E1 panel wiring is finalized
MAX31865 breakout #2,SCK/DI/DO,Robin Nano PC10/PC12/PC11,Same shared bus
MAX31865 breakout #3,CS,Robin Nano PA4 (repurposed EXP1 pin),TBD - same confirmation needed
MAX31865 breakout #3,SCK/DI/DO,Robin Nano PC10/PC12/PC11,Same shared bus
Hi-Link HLK-5M03 (3.3V isolated PSU) [SUPERSEDED - see POWER ARCHITECTURE rows at end],AC L/N in,Mains supply,"CORRECTED from HLK-PM03: worst-case budget calc showed the smaller PM01/PM03 pairing (3W+3W=6W) undersizes the 5V rail by ~18% at worst case. This 5M03+5M05 pairing gives 10W combined, meeting the docs' own >=10W target with real margin"
Hi-Link HLK-5M03 (3.3V isolated PSU) [SUPERSEDED - see POWER ARCHITECTURE rows at end],+3.3V/GND out,Robin Nano 3.3V rail / GND,Computed 3.3V-rail need is only 0.35W (MCU) - this module is oversized 14x, but the spare capacity absorbs the one unresolved item (display draw) regardless of which rail it lands on
Hi-Link HLK-5M05 (5V isolated PSU) [SUPERSEDED - see POWER ARCHITECTURE rows at end],AC L/N in,Mains supply,-
Hi-Link HLK-5M05 (5V isolated PSU) [SUPERSEDED - see POWER ARCHITECTURE rows at end],+5V/GND out,Robin Nano 5V rail / GND,"Computed 5V-rail worst-case need is 3.55W (indicators 0.75W + steppers 2.2W worst-case + opto 0.5W + sensors 0.1W). This module gives 41% headroom over that. Feeds panel indicators, RTD breakouts, dimmer/relay module logic. NOTE: no longer feeds pressure-sensor excitation - the XDB401 3.3V variant runs off the 3.3V rail and self-excites internally, so that load moved off this rail"
Crydom D2425 (UPGRADE PATH, not baseline),Same as Fotek pair above,Same,"~AUD140.83/unit (~AUD281 for the pair) vs Fotek's ~AUD15-70 for the pair. Same 25A rating, same confirmed zero-cross type, AU-distributor stocked (Raptor/Mouser/Element14) vs Fotek's AliExpress/eBay-only sourcing. The thing to beat the Fotek baseline with if AU lead-time/distributor certainty ends up mattering more than the ~AUD210 price gap"
Proof-of-life interlock (watchdog + fault-latch) - DEFERRED,N/A,N/A,"NOT purchased now. Candidate design: Jaycar/Freetronics watchdog module XC4267 (~AUD50-70) + CZH-LABS D-1022 latching relay (~USD20-50), ~AUD80-100 total, standalone unit wired in later. Deferred per DEC-HEATER-DRIVE-GATED-BY-SUPERVISION, which permits bench operation under human supervision without this interlock and only gates the assembled unattended machine on it. Revisit once the machine is properly specced and bench-tested, not before"
XDB401 3.3V I2C #1 (brew) - LOCKED IN,VCC,Robin Nano 3.3V rail,"1.2MPa (12 bar) range for the brew line. 3.3V supply/I2C variant, user-sourced from the vendor's official AliExpress store - distinct from the 5-12V variant general web research surfaced. 3.3V supply means native 3.3V I2C logic, no level shifter needed. ~USD15-25"
XDB401 3.3V I2C #1 (brew),GND,Robin Nano GND,-
XDB401 3.3V I2C #1 (brew),SCL/SDA,TCA9548A mux channel 0,"Cannot go direct to PB8/PB9 alongside #2 - the I2C address is FIXED at 0x7F with no address-select jumper, so the two units collide on a shared bus"
XDB401 3.3V I2C #2 (steam) - LOCKED IN,VCC,Robin Nano 3.3V rail,"0.5MPa (5 bar) range - deliberately matched to the planned ~5 bar mechanical OPV, which is the real system pressure ceiling. Gives ~0.05 bar/count at +/-1% FS vs ~0.12 bar on a 1.2MPa unit. Survives the JYPC-4's 5.5 bar deadhead on its 150% FS (7.5 bar) overload rating; it clips rather than breaks, and clipping is acceptable because the OPV is acting at that point"
XDB401 3.3V I2C #2 (steam),GND,Robin Nano GND,-
XDB401 3.3V I2C #2 (steam),SCL/SDA,TCA9548A mux channel 1,Same fixed-0x7F collision reason as #1
TCA9548A I2C multiplexer [CONDITIONAL - see note],VCC/GND,Robin Nano 3.3V / GND,"~USD2-5. Required ONLY IF both XDB401 units share the fixed 0x7F address. Supplier may program distinct addresses on request; if so, both sensors connect direct to PB8/PB9 and this part is deleted"
TCA9548A I2C multiplexer,SCL/SDA (upstream),Robin Nano PB8 / PB9 (I2C1),"Mux itself has a configurable address (0x70-0x77), so it coexists with a future RTC on the same upstream bus"
Mechanical OPV (steam line) - NEW, not yet sourced,N/A - plumbing part,Steam line, upstream of / adjacent to the steam pressure sensor,"~5 bar setpoint. NOT an electrical part - this is the pressure-containment answer that acts without anything electrical having to (relevant to OBL-ELECTRICAL-THERMAL-SAFETY-001.C5). Its setpoint and the steam sensor full scale are a coordinated pair: pick them together. Specific part not yet chosen/priced"
POWER ARCHITECTURE - option A (bare F407 board),Single 5V isolated mains module -> board 5V input pad + all 5V accessories,Board 3.3V comes from its own onboard AMS1117,"SIMPLER OF THE TWO. One mains part. 5V load is ~0.71A accessories + ~0.15A board = ~0.86A, so a 5W/1A module is tight - specify 10W/2A class. Waveshare Core407V is the better bare board here because it has a designed-in external 5V input pad with a USB-vs-external slide switch; the DevEBox variant ties its 5V header pins straight to USB VBUS with no blocking diode"
