Item,Qty,Channel,Location,L_mm,W_mm,H_mm,Area_mm2,Rail,mA,Cost_AUD_ea,Dim_status,Note
VCC-GND STM32F407VET6 Mini,1,controller,box,49.53,39.37,21,1950,5V in / 3V3 out,117,20,L-W confirmed / H estimated,H is PCB+header+DuPont+standoff. Right-angle headers cut it to ~10mm. Only F407 board smaller than DevEBox. Do not buy BLACK_F407VE (85x72mm different board same MCU).
MAX31865 breakout,3,E5/E6 RTD headroom,box,28,25.5,3,714,3V3,2,18,confirmed,Adafruit 3328. Deferred purchase but pins+space reserved. Needed if PT1000 migration happens - F407 ADC alone gives 2.2C vs its 0.5C guaranteed.
TCA9548A I2C mux [CONDITIONAL],1,E7 pressure,box,30.6,17.6,2.7,539,3V3,1,5,confirmed,ONLY needed if both XDB401 arrive on the same fixed 0x7F address. Supplier may program distinct addresses on request - decide at purchase. If dropped: both sensors go direct to PB8/PB9, saves 539mm2 + AUD 5 + a failure point + the per-read channel-select in firmware.
74HCT541 octal buffer,1,E3 gauge lines,box,25.4,6.35,3.6,161,5V,1,1,confirmed,DIP-20. No commercial breakout exists - goes on the perfboard. Removes the 5V-tolerance requirement on the 5 gauge pins.
Perfboard (buffer + NTC dividers),1,E3/E5 passives,box,80,20,1.6,1600,-,0,2,confirmed,Carries 74HCT541 + 3x 4.7k NTC dividers. Board has no onboard analog conditioning.
Fotek SSR-25DA,2,E10 heaters,mains,60,45,24,2700,3V3 ctrl,10,15,inferred,25A vs 4.80A/5.38A load. Zero-cross type confirmed from datasheet.
SSR heatsink,2,E10 heaters,mains,80,50,50,4000,-,0,10,inferred,Required - 6.5W per channel. Combined H ~74mm so mains area only. This dissipation is the price of half-cycle burst-fire; OEM relays paid ~0.1W for coarse on/off.
RobotDyn 2ch AC dimmer,1,E9 zero-cross + E11 pumps,mains,76,50,TBD,3800,5V,20,15,L-W inferred / H not found,No heatsink fitted below 4A - none needed at 0.1-0.22A pump current. MOC3021 confirmed random-phase so genuine phase-cut. BTA16-600B tab is live (MT2) - not the isolated -600BW.
Mechanical relay module 2ch [NOT CHOSEN],1,E12 valves,mains,38,49.5,20,1881,5V,144,5.70,confirmed,Superseded by the 4ch below - only AUD 0.70 cheaper.
Mechanical relay module 4ch,1,E12 valves + expansion,mains,73,54,20,3942,5V,286,6.40,confirmed,CHOSEN. Core Electronics. Only AUD 0.70 over the 2ch so channel headroom is free. SRD-05VDC coil is 71.4mA / 70R / 360mW each. Open JD-VCC jumper to feed coil current from its own 5V rail so 286mA of coil inrush cannot sag the logic rail. Opto input triggers 3.0-5.0V so 3.3V GPIO drives it direct. No snubber fitted. Pin cost +2 from spare pool. 8ch exists (91x57mm) but jumps to AUD 22 and 571mA - not warranted.
RC snubber,4,E12 valves,mains,-,-,-,0,-,0,3,-,100nF + 100R across contacts. Not fitted on any generic relay module. Inductive AC coil.
HLK-10M05 isolated PSU,1,5V supply,mains,46.9,28.5,21.8,1336,mains in,-,8,inferred,10W/2A at 5V. Feeds board AND all accessories. 3.3V comes from the board's own RT9193 (300mA) so no second module.
XDB401 3.3V I2C,2,E7 pressure,plumbing,TBD,TBD,TBD,-,3V3,5,30,thread confirmed,G1/4 BSP. Same body across ranges and across I2C/analog variants. 1.2MPa brew / 0.5MPa steam. Fixed 0x7F address - hence the mux.
Mechanical OPV,1,steam line,plumbing,TBD,TBD,TBD,-,-,0,30,not published,~5 bar. Sets the real pressure ceiling; steam sensor full scale chosen to match. Satisfies the contain-without-electrical criterion independently of any sensor.
Master relay [DEFERRED],1,safety interlock,mains,32,27.6,25.5,883,5V,180,5,inferred,Songle SLA-05VDC 30A. Buy a variant with aux contacts. Cannot be the trip decider - firmware may not be in the protective path.
Watchdog module [DEFERRED],1,safety interlock,mains,TBD,TBD,TBD,-,5V,TBD,60,pending,Jaycar/Freetronics XC4267. Holds the master relay coil. 1 or 5 min timeout is coarse vs the 10-50ms discussed. Deferred - bench operation is supervised.
Solenoid valve 3-way [FUTURE],1,hot-water / steam diverter,plumbing,TBD,TBD,TBD,-,230VAC,39,25,thread confirmed,"1/8 BSP female. SPEC TO MATCH: 230VAC 8-9W, orifice 1.5-2.3mm, 12-30 bar, -10 to +140C, brass body + FKM/PTFE seals. Scavenge or AliExpress ~AUD 15-30; the EUR 60-75 ODE/Sirai figure was specialist-retailer pricing. CHECK TEMP RATING - generic AliExpress mains solenoids are often water-inlet valves rated 80C and low pressure, which will fail on a 95C 9-bar line. MOUNT CLOSE TO THERMOBLOCK OUTLET - short direct leg to group, long leg to tap."
Solenoid valve 2-way [FUTURE],1,drip-tray vent,plumbing,TBD,TBD,TBD,-,230VAC,26,20,thread confirmed,"1/8 BSP female. SPEC TO MATCH: 230VAC 5-9W, normally closed, 8-15 bar, +140C, FKM/PTFE seals. Scavenge or AliExpress ~AUD 15-25. Same temp-rating caution as the 3-way. Minimise stub volume off the main flow - same dead-leg fix as the pressure sensor tapping."
