"# STALE IN ITS BOARD COLUMN - built against MKS Robin Nano V3.1; selection moved to a bare VCC-GND STM32F407VET6 Mini. Same MCU so pin/timer/ADC/EXTI reasoning transfers; the Header/Source column does not. See README.md.",,,,,,
Pin,Header/Source,Channel,Function,Status,Passive/Extra Needed,Notes
PC1,Onboard thermistor TH1,E5,Coffee thermoblock NTC,As-is - CONFIRMED,None - onboard 4.7k pull-up to 3.3V is fine,"Resolved by calc: 4.7k vs OEM's 10k gives ~6% less sensitivity at 95C, resolution still ~0.035-0.037C/count either way, far inside +/-2C requirement. Firmware must use a 4.7k-pullup lookup table (Marlin Table 1), not a 10k one. NTC beta still not bench-characterized, but that's a firmware calibration task, not a wiring blocker"
PA2,Onboard thermistor TH2,E5,Steam thermoblock NTC,As-is - CONFIRMED,None,Same resolution as above
PC0,Onboard thermistor TB,E5,Steam wand NTC,As-is - CONFIRMED,None,Same resolution as above
PC9,SD-card SPI (repurposed),E5/E6 headroom,MAX31865 #1 chip-select,Needs daughter board,3x MAX31865 breakout (not bought day one - reserved),SD slot CS line; bus shared with PC10/PC11/PC12 below
PC10,SD-card SPI (repurposed),E5/E6 headroom,Shared SPI SCK,Needs daughter board,Same MAX31865 breakouts,Shared clock line for all 3 RTD converters
PC11,SD-card SPI (repurposed),E5/E6 headroom,Shared SPI MISO,Needs daughter board,Same MAX31865 breakouts,Shared with all 3
PC12,SD-card SPI (repurposed),E5/E6 headroom,Shared SPI MOSI,Needs daughter board,Same MAX31865 breakouts,Shared with all 3
PA13,EXP1 (PW_DET),E5/E6 headroom,MAX31865 #2 chip-select,Needs daughter board,Same MAX31865 breakouts,Repurposed EXP1 pin for 2nd RTD CS - TBD confirm free
PA4,EXP1 (MT_DET1),E5/E6 headroom,MAX31865 #3 chip-select,Needs daughter board,Same MAX31865 breakouts,Repurposed EXP1 pin for 3rd RTD CS - TBD confirm free
PD6,Stepper slot E0 (STEP),E3,MOT1 (coffee gauge) step clock,Needs passive - CONFIRMED FT,4.7k pull-up to 5V; open-drain GPIO config,"Confirmed FT (5V-tolerant) pin per ST datasheet DS8626 Rev9 Table 7, LQFP100 pin 87. No level shifter needed. VID6608 Vih>=3.15V now cleared with margin"
PD3,Stepper slot E0 (DIR),E3,MOT1 direction,Needs passive - CONFIRMED FT,Same 4.7k pull-up to 5V,Confirmed FT, pin 84
PD15,Stepper slot E1 (STEP),E3,MOT2 (milk-temp gauge) step clock,Needs passive - CONFIRMED FT,Same 4.7k pull-up to 5V,Confirmed FT, pin 86
PA1,Stepper slot E1 (DIR),E3,MOT2 direction,Needs passive - CONFIRMED FT,Same 4.7k pull-up to 5V,Confirmed FT, pin 24
PB3,Stepper slot E0 (EN),E3,Shared RESET (both gauges),Needs passive - CONFIRMED FT,Same 4.7k pull-up to 5V,"Confirmed FT, pin 89 - but defaults to JTDO/TRACESWO after reset, needs firmware remap to GPIO (disable JTAG on this pin) - a firmware note, not a hardware issue"
PD9,Stepper slot E0 (UART/spare),-,Spare,Spare,-,Freed by not populating a real TMC driver chip in this slot
PD8,Stepper slot E1 (UART/spare),-,Spare,Spare,-,Freed by not populating a real TMC driver chip in this slot
PE4/PE3/PE2/PD5,Stepper slot X (unused),-,Spare (EN/STEP/DIR/UART),Spare,-,Whole slot unused - candidate source for any additional GPIO/CS needed
PE1/PE0/PB9/PD7,Stepper slot Y (unused),-,Spare (EN/STEP/DIR/UART),Spare,-,Whole slot unused
PB8/PB5/PB4/PD4,Stepper slot Z (unused),-,Spare (EN/STEP/DIR/UART),Spare,-,Whole slot unused
PD2,EXP1,E1,Panel key/switch input 1,As-is,None - ground-switched, works at 3.3V or 5V,EXP1 has 5V+GND rail present for pull-ups
PC8,EXP1,E1,Panel key/switch input 2,As-is,None,Same
PC4,EXP1,E1,Panel key/switch input 3,As-is,None,Same
PE6,EXP1,E1,Panel key/switch input 4 (was MT_DET2),As-is,None,Same
PB2,EXP1,E1,Panel key/switch input 5 (was PW_OFF),As-is,None,Same
PA15,EXP1,E1,Panel key/switch input 6,As-is,None,Same - note E1 needs 8 total inputs; PA13/PA4 above were reassigned to RTD CS, so 2 more are needed from EXP2 or a spare stepper slot pin
PC5,EXP2,E1,Panel key/switch input 7,As-is,None,From EXP2 header
PE13,EXP2,E1,Panel key/switch input 8,As-is,None,From EXP2 header - completes the 8 required for E1
PD13,EXP2,E2,Indicator rail gate (PWM/timer),As-is,None - confirm timer-capable,Needs to be a timer/PWM-capable pin for brightness modulation - verify
PC6,EXP2,E4,Buzzer output,As-is,None,Simple GPIO out via transistor per E4's own spec
PE14,EXP2,E9,Mains zero-cross input,Needs passive (isolation is off-board),Confirm EXTI-capable; pull-up/level treatment depends on the dimmer module's ZC output type,From the RobotDyn/KRIDA dimmer module's shared zero-cross output pin
PE15,EXP2,E8,Flow meter pulse input,Needs passive (maybe),1kOhm series resistor for protection; pull-up move to 3.3V if open-drain,Confirm open-drain vs push-pull on the OEM meter before finalizing
